,Title,text,name,source,uncertain,skills
284,"Associate Account Strategist (Polish), Global Customer Experience","Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Polish fluently and idiomatically.",Minimum Qualifications,google,,English|Polish
26,"Technical Solutions Engineer, Chrome and Android, Google Cloud","Bachelor's degree in Computer Science, or a related technical field, or equivalent practical experience.
Experience in technical support, professional services, engineering, sustaining engineering, or systems engineering.
Ability to undergo additional background check clearance to work with Government clients.",Minimum Qualifications,google,,Computer Science|technical support|professional services|engineering|sustaining engineering|systems engineering
3,"Developer Advocate, Partner Engineering","BA/BS degree in Computer Science or equivalent practical experience.
Experience working directly with partners.
Programming experience in one or more of the following languages/platforms: Android, Java, Kotlin, iOS, Javascript.",Minimum Qualifications,google,,Computer Science|working directly with partners|programming|Android|Java|Kotlin|iOS|Javascript
75,"Developer Advocate, Cloud Platform","BA/BS degree or equivalent practical experience.
Experience in data analytics, building data analytics pipelines and machine learning.
Software engineering or development experience, with coding experience in two or more of the following languages: Java, JavaScript, C/C++, C#, Objective-C, Python, or Go.",Minimum Qualifications,google,,data analytics|building data analytics pipelines|machine learning|Software engineering|development|coding|Java|JavaScript|C|C++|C#|Objective-C|Python|Go
145,"Developer Advocate, Web","BA/BS degree or equivalent practical experience.
Relevant working experience, including experience working directly with partners.
Experience working with one or more of the following languages: Java, PHP, Python, Ruby, Node.js, Go, .NET and/or JavaScript.
Experience working with Unix/Linux and/or Windows servers.",Minimum Qualifications,google,,working directly with partners|Java|PHP|Python|Ruby|Node.js|Go|.NET|Javascript|Unix servers|Linux servers|Windows servers
6,"Supplier Development Engineer, Camera, Consumer Hardware","BS degree in Engineering or equivalent practical experience.
10 years of experience in Design and Manufacturing in a New Product Introduction (NPI) role.
Experience in camera manufacturing.",Minimum Qualifications,google,,Engineering|Design and Manufacturing|camera manufacturing
271,"Hardware System Validation Engineer, Consumer Hardware","Bachelor's degree in Electrical Engineering or equivalent practical experience.
3 years of experience with various lab equipments, such as real-time oscilloscope, TDR, VNA/ENA, spectrum analyzer, protocol analyzer, logic analyzers, etc.
Experience in modern analog and digital electronic circuits, power delivery, and transmission line theory.
System validation and optimization experience in one or more of the following areas: high-speed serial interface (MIPI/DP/HDMI/USB/PCIe), memory interface (LPDDR3/LPDDR4), RF validation (Wi-Fi, Bluetooth), power supply (switch mode power supply, LDO), EMC/ESD/Safety compliance, display, camera (optical and electrical), audio, sensors, and input device (capacitive touch, keyboard, mouse, etc).",Minimum Qualifications,google,1,
251,"Supplier Development Engineer, Materials, Consumer Products","BS in Mechanical or Materials Engineering or equivalent practical experience.
10 years of experience with Design and Manufacturing in an NPI role.
Experience working with adhesives, coatings, and related processing.",Minimum Qualifications,google,,"Mechanical or Materials Engineering|Design and Manufacturing|working with adhesives, coatings"
93,ASIC Physical Design Engineering Tech Lead & Manager,"Bachelor's degree or equivalent practical experience.
Multiple foundry experience.
Experience in leading implementation, flows and/or methodology for building complex SoC with 100 million plus gates in advanced nodes. Experience in people leadership
Experience in ASIC vendor management and in IP integration (memories, FLASH, IO’s and Analog IP)",Minimum Qualifications,google,,"foundry|leading implementation, flows and/or methodology|SoC|people leadership|ASIC vendor management|IP integration"
378,"Partner Sales Manager, Go-to-Market Partnerships, Google Cloud","BA/BS degree or equivalent practical experience.
5 years of experience in a partner or channel manager role.
Experience with public cloud solutions across Software-as-a-Service, Platform-as-a-Service and Infrastructure-as-a-Service markets.
Experience with partner ecosystems, agile partners, mid-tier integrators and global system integrators.",Minimum Qualifications,google,,partner or channel manager|public cloud solutions|Software-as-a-Service|Platform-as-a-Service|Infrastructure-as-a-Service|partner ecosystems|agile partners|mid-tier integrators|global system integrators
365,"Strategic Partner Development Manager, Google Marketing Solutions, Channel Sales","Bachelor's degree or equivalent practical experience.
6 years of Sales/Business Development or Consulting experience.
Relevant experience in developing channel programs or managing partnerships.",Minimum Qualifications,google,,Sales/Business Development|Consulting|developing channel programs|managing partnerships
554,"Mobile Apps Technical Specialist, Online Partnership Group (English and Vietnamese or Hindi)","BA/BS degree in a technical field or equivalent practical experience.
1 year of apps and/or web development experience.
Experience in app technologies, such as iOS (Objective-C) and Android (Java) development.
Ability to speak and write in English and Vietnamese or Hindi fluently and idiomatically.",Minimum Qualifications,google,,apps and/or web development|iOS|Objective-C|Android|Java|English|Vietnamese|Hindi
430,"Global Partnerships Solutions Manager, Telecom","BA/BS degree or equivalent practical experience
5 years of relevant work experience",Minimum Qualifications,google,1,
577,"Enterprise Customer Development Representative, Google Cloud (English, Korean)","BA/BS degree or equivalent practical experience.
Ability to speak and write in English and Korean fluently and idiomatically.",Minimum Qualifications,google,,English|Korean
460,"Sales Engineering Manager, Shared Services, Google Cloud","BA/BS degree in Computer Science or equivalent practical experience.
9 years of experience serving in the capacity of a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience working in a service or scaled delivery capacity.
Technical experience with technology and the cloud computing market.",Minimum Qualifications,google,,Computer Science|cloud computing|customer facing role|professional services|systems engineering|technology|cloud computing
569,"Vendor Strategy Manager, Google Technical Services","BA/BS degree or equivalent practical experience.
Experience in vendor management/service delivery, managing operations across multiple suppliers and geographies in the technology space.
Experience in devising and implementing strategies and business improvements.",Minimum Qualifications,google,,vendor management|service delivery|managing operations across multiple suppliers and geographies|devising and implementing strategies and business improvements
32,"Solutions Consultant, Ads, Google Professional Services","BA/BS degree in Computer Science or equivalent practical experience.
Experience working with SQL, HTML, JavaScript and or Unix/Linux.
Experience working in a client-facing capacity.",Minimum Qualifications,google,,Computer Science|SQL|HTML|JavaScript|Unix|Linux|working in a client-facing capacity
46,"Graphics Software Engineer, Robotics Simulation, Google Cloud Platform","BA/BS in Computer Science or Robotics, or equivalent practical experience.
Experience working with C++ development on Linux.
Experience in graphics development, working with one or more modern 3D graphics engines and/or web-based graphics libraries (Unity, Unreal, OpenGL, WebGL).",Minimum Qualifications,google,,Computer Science|Robotics|C++|Linux|graphics development|3D graphics engines|web-based graphics libraries|Unity|Unreal|OpenGL|WebGL
100,ソフトウェア エンジニア、Chrome OS ビデオ,"コンピュータ サイエンスまたは関連する技術分野で学士号を取得していること（関連職種での実務経験でも可）
C、C++ を使用したプログラミング経験
ドライバや、Linux ベースシステム用の低レベル システム ソフトウェアを作成した経験
Linux の内部構造に関する知識",Minimum Qualifications,google,1,
187,"Software Engineer, Tools and Infrastructure","BS degree in Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, including development and/or test automation experience.",Minimum Qualifications,google,,Computer Science|development|test automation
108,"Software Engineer, Virtual Prototyping","Master's degree in Computer Science or Electrical Engineering or equivalent practical experience.
3 years of working experience
Experience with algorithms and data structures.
Programming experience in C or C++.",Minimum Qualifications,google,,Computer Science|Electrical Engineering|algorithms and data structures|C|C++
27,"Program Manager, Supply Chain Data Management","5 years of experience in supply chain operations across technical and/or networking fields.
Experience in a Program Management role, leading data management solutions.",Minimum Qualifications,google,,supply chain operations|Program Management role|data management
161,"Technical Program Manager, Data Center Design","BS degree in a related technical field or equivalent practical experience.
10 years of work experience managing multi-group, multi-disciplinary construction projects and designs.",Minimum Qualifications,google,1,
906,"Business Analyst, Google Play Partner Promotions Strategy","Bachelor's degree or equivalent practical experience.
5 years of experience at a consulting firm, telecom player, and/or digital media company.
Experience in data analysis and database querying (e.g., SQL).
Experience interacting with senior-level executives.",Minimum Qualifications,google,,data analysis|database querying|SQL|interacting with senior-level executives
877,"Product Analyst, Data Science","BA/BS degree or equivalent practical experience.
3 years of experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.)
Experience with articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer.",Minimum Qualifications,google,,statistical packages|R|SAS|Stata|MATLAB|articulating product questions|pulling data from datasets|SQL|statistics
913,"Strategy Associate, Search and Assistant Distribution, Global Partnerships","BA/BS degree in a technical or quantitative/business field, or equivalent practical experience.
5 years of relevant work experience.",Minimum Qualifications,google,1,
928,"Associate, Business Operations and Strategy","BA/BS degree or equivalent practical experience.
2 years of experience in management consulting or investment banking.",Minimum Qualifications,google,,management consulting|investment banking
47,"Technical Writer, University Graduate","BA/BS degree or equivalent practical experience.
Experience with online publishing or web development, and proficiency in technical writing, product documentation, journalism, or related writing disciplines.
Experience with code written in Java, C++, Python, and/or JavaScript.
Legal authorization to work in the United States.",Minimum Qualifications,google,,online publishing|web development|technical writing|product documentation|journalism|Java|C++|Python|JavaScript
195,Cloud DevOps and Infrastructure Engineer for Silicon Design,"BS degree in Computer Science or related technical field, or equivalent practical experience.
Experience with standard IT security practices such as encryption, certificates and key management (such as Kerberos).
Experience working with scalable networking technologies such as Load Balancers/Firewalls and web standards (REST APIs, RPC, web security mechanisms).
Experience working with deployment and orchestration technologies (such as PXE, Docker, Kubernetes, Puppet, Chef, Salt, Ansible, Jenkins)",Minimum Qualifications,google,,Computer Science|IT security|encryption|certificates|key management|Kerberos|scalable networking technologies|Load Balancers|Firewalls|web standards|REST APIs|RPC|web security mechanisms|deployment and orchestration technologies|PXE|Docker|Kubernetes|Puppet|Chef|Salt|Ansible|Jenkins
185,"Strategic Negotiator, Data Center","BA/BS degree in Technology, Engineering, Science or Economics or equivalent practical experience.
Experience with developing strategic agreements, project management and financial modeling.
Ability to travel up to 50% of the time.",Minimum Qualifications,google,,Technology|Engineering|Science|Economics|developing strategic agreements|project management|financial modeling
49,"Technical Program Manager, Cloud Infrastructure Planning and Resource Management","BA/BS degree in Engineering, Computer Science or related technical field or equivalent practical experience.
2 years of experience managing technical programs or projects.",Minimum Qualifications,google,,Engineering|Computer Science|managing technical programs or projects
191,"Technical Program Manager, Site Reliability Engineering","BS degree in Engineering or IT-related field, or equivalent practical experience.
2 years of relevant work experience.
1 year of industry experience or equivalent.",Minimum Qualifications,google,,Engineering|IT
134,"Linguist, Natural Language Understanding, Machine Intelligence","Ph.D in Linguistics/Computational Linguistics, with experience in core areas such as semantics, syntax, morphology, phonetics, phonology, and/or discourse, or equivalent practical experience.
Experience developing projects or curricula from concept to completion and collaborating internationally with multiple partners on multi-quarter projects
Experience with scripting languages working in a Linux environment.
Ability to speak and write in English and one of the following languages fluently and idiomatically: Dutch, Swedish, Norwegian or Finnish.",Minimum Qualifications,google,1,Linguistics|Computational Linguistics|developing projects or curricula|collaborating internationally|scripting languages|Linux|English|Dutch|Swedish|Norwegian|Finnish
151,"Corporate Operations Engineer, IT Support, EPM","BS degree or equivalent practical experience.
Experience in one of the following technologies: Anaplan, SAP Planning and Analytics, Hyperion Essbase, TM1, and Hyperion Financial Management (HFM).
Experience building and supporting integrated Enterprise Performance Management applications finance and accounting processes.
Scripting experience with Perl, Linux Shell or Python and ETL tools such as Informatica or Oracle Data Integrator (ODI). Relevant technical experience in system administration or IT operations.",Minimum Qualifications,google,1,
164,"Corporate Operations Engineer, Finance IT Support","BS degree or equivalent practical experience.
2 years of relevant technical experience in system administration or IT operations.
Experience in one of the following technologies: Anaplan, SAP Planning and Analytics, Hyperion Essbase, TM1, and Hyperion Financial Management (HFM)
Scripting experience with Perl, Linux Shell or Python and ETL tools such as Informatica or Oracle Data Integrator (ODI). Experience building and supporting integrated Enterprise Performance Management applications.",Minimum Qualifications,google,,system administration|IT operations|Anaplan|SAP Planning and Analytics|Hyperion Essbase|TM1|Hyperion Financial Management (HFM)|Perl|Linux Shell|Python|ETL tools|Informatica|Oracle Data Integrator|Enterprise Performance Management applications
654,"Product Marketing Manager, Direct SMB Acquisitions","BA/BS degree or equivalent practical experience.
Experience analyzing and presenting data.
Experience communicating cross-functionally within teams.",Minimum Qualifications,google,,analyzing and presenting data|communicating cross-functionally within teams
774,Associate Product Marketing Manager,"BA/BS degree or equivalent practical experience.
1 year of work experience in marketing, consulting or related field.",Minimum Qualifications,google,,marketing|consulting
225,Executive Briefing Manager,"BA/BS degree or equivalent practical experience.
5 years of professional experience in sales, business development, consulting, industry solutions, marketing for cloud, data management or technical infrastructure products and services.
3 years of experience in a client-facing role or working in direct engagement with account teams.",Minimum Qualifications,google,,sales|business development|consulting|industry solutions|marketing for cloud|data management|technical infrastructure products and services|client-facing|direct engagement with account teams
604,"Product Specialist, New Hardware Devices and Platforms, Google Play","BA/BS degree or equivalent practical experience.
5 years of experience in a Product Management, Product Specialist or similar role working with product in an online commerce or content business.
3 years of experience in Merchandising.",Minimum Qualifications,google,,Product Management|Product Specialist|online commerce|content business|Merchandising
243,"Network Operations Engineer, Corporate","BA/BS degree in a technical field or equivalent practical experience.
4 years of experience in implementing and/or supporting large/wide area networks. Experience with network change-management control policies.
Experience with TCP/IP fundamentals and commonly-used routing protocols (e.g. OSPF, BGP, MPLS, etc).",Minimum Qualifications,google,,large/wide area networks|network change-management control policies|routing protocols
162,"Network Implementation Engineer, Corporate Network","BS degree in Computer Science or related field or equivalent practical experience.
Experience in configuring enterprise-class routers and switches; Juniper and Cisco
Experience in network protocols troubleshooting
Experience with Unix systems administration.",Minimum Qualifications,google,,Computer Science|configuring enterprise-class routers and switches|Juniper|Cisco|network protocols troubleshooting|Unix systems administration
285,"Technical Solutions Consultant, Android Automotive, Android Partner Engineering","BA/BS degree or equivalent practical experience.
Experience in managing strategic partnerships or client relationships.
Experience in an object-oriented programming language (e.g., Java, C++ or Python).
Experience with system architecture or device bring-up of Android or other Linux-based platforms.",Minimum Qualifications,google,,managing strategic partnerships|client relationships|object-oriented programming language|Java|C++|Python|system architecture|Android|Linux
224,"Network Engineer, Corporate Network","BS degree in Computer Science or related field or equivalent practical experience.
Experience in configuring enterprise-class routers and switches; Juniper and Cisco
Experience in Unix systems administration.
Experience with customer-interaction. Experience with one or more general purpose programming languages; Python or/and Go.",Minimum Qualifications,google,,Computer Science|configuring enterprise-class routers and switches|Juniper|Cisco|Unix systems administration|customer-interaction|programming languages|Python|Go
353,Online Sales Account Manager (Dutch),"BA/BS degree or equivalent practical experience.
Experience in consultative sales and account management.
Ability to speak and write in English and Dutch fluently and idiomatically",Minimum Qualifications,google,,consultative sales|account management|English|Dutch
459,"Inside Sales Executive, Google Cloud","BA/BS degree in Computer Science, Business or Marketing or equivalent practical experience.
5 years of experience in a Sales and/or Account Management role.",Minimum Qualifications,google,,Computer Science|Business|Marketing|Sales|Account Management
437,"Strategic Agency Consultant (Switzerland, Austria), Google Marketing Solutions","BA/BS degree or equivalent practical experience.
Experience in business strategy and stakeholder management
Ability to speak and write in English and German fluently and idiomatically.",Minimum Qualifications,google,,business strategy|stakeholder management|English|German
341,"Account Manager, Display, Media Buying Solutions (Spanish)","Bachelor's degree or equivalent practical experience.
Experience in online, software sales or online marketing.
Ability to speak and write in English and Spanish fluently and idiomatically.",Minimum Qualifications,google,,"online, software sales|online marketing|English|Spanish"
540,"Field Sales Representative, Google Cloud (English, Dutch, French)","BA/BS degree in a technical or engineering field, or equivalent practical experience.
Experience in direct client sales/management.
Experience working across technology and cloud computing sales.
Ability to speak and write in English and either Dutch and/or French fluently and idiomatically.",Minimum Qualifications,google,,engineering|direct client sales/management|technology and cloud computing sales|English|Dutch|French
399,"Manager of Store Operations, Hardware Partnerships (English and German)","BA/BS degree or equivalent practical experience.
Experience in Retail, Operations or Consulting.
Project management and Vendor management experience.
Ability to speak and write in English and German fluently and idiomatically.",Minimum Qualifications,google,,Retail|Operations|Consulting|Project management|Vendor management|English|German
345,Brand Solution Strategist,"BA/BS degree or equivalent practical experience.
8 years of experience in advertising sales, business development, marketing, consulting or media.
Experience with TV media, Creative and Media Agency dynamics.",Minimum Qualifications,google,,advertising sales|business development|marketing|consulting|media|TV media|Creative and Media Agency dynamics
373,"Research Analyst, Market Insights","BA/BS degree in Statistics, Applied Mathematics, Econometrics, Engineering, Operation Research, Computer Science or related field or equivalent practical experience.
Experience in statistical (R, S-Plus, SAS, Python or similar) and database software (SQL or equivalent).
Analytical experience in a sales or marketing environment.
Ability to speak and write in English and French or German fluently and idiomatically.",Minimum Qualifications,google,,Statistics|Applied Mathematics|Econometrics|Engineering|Operation Research|Computer Science|R|S-Plus|SAS|Python|database software|SQL|Analytical experience|sales|marketing environment|English|French|German
1013,"Payroll Business Systems Analyst, HR Interfaces","BA/BS degree in Business, Accounting, Operations or equivalent practical experience.
Experience in process improvement.",Minimum Qualifications,google,,Business|Accounting|Operations|process improvement
999,"APAC Manager, Employment Tax","Bachelor's degree in Accounting or Business Administration or related field, or equivalent practical experience.
10 years of employment tax experience in a public accounting firm, law firm and/or a corporate tax department
Certified Public Accountant (or local country equivalent)",Minimum Qualifications,google,,Accounting|Business Administration|public accounting|law|corporate tax
981,"Financial Analyst, Central Finance Planning and Analysis","BA/BS degree in a quantitive field or equivalent practical experience.
Experience working in management consulting, investment banking, finance, corporate strategy or similar environment.
Experience in financial modeling, analytical and/or accounting.",Minimum Qualifications,google,,management consulting|investment banking|finance|corporate strategy|financial modeling|analytical|accounting
994,"Trading Analyst, Foreign Exchange","3 years of relevant work experience from an investment bank, corporate finance or consulting capacity.
Experience working with financial derivatives including FX spot, forwards, NDF, commodities and options.
Experience working with financial modeling and individual currency pair fair value drivers.",Minimum Qualifications,google,1,
1087,"Legal Counsel, Development, Production and Licensing, YouTube Originals","Admitted to the bar in which this position is located or otherwise authorized to practice law (e.g registered in-house status) in the state in which the position is located.
8 years of experience in entertainment agreement work (development, production and exploitation experience) in television and/or features (including international), including at a studio, network, content distribution platform and/or other entertainment company.
Experience with production and post-production legal challenges (including guild/union, music, rights, clearance matters and guild issues).
Experience leading the structuring of entertainment agreements, including assessing financing options and content acquisition, license and distribution, production, production-related vendor, advertising and sponsorship, marketing and talent agreements.",Minimum Qualifications,google,1,
1054,"Regional Legal Counsel, Japan","Bachelor's of Law, comparable law degree or equivalent practical experience.
Qualified to practice law in Japan or the United States.
5 years of experience in commercial drafting and negotiation of agreements within the intellectual property area or in internet-related business.
Ability to speak and write in English and Japanese fluently and idiomatically.",Minimum Qualifications,google,,law|commercial drafting and negotiation of agreements|English|Japanese
1045,Trademark Counsel,"JD degree or equivalent practical experience.
Admitted to the bar in which position is located and in good standing or otherwise authorized to practice law (e.g have registered in-house status) in the state in which the position is located.
3 years of experience practicing trademark law.",Minimum Qualifications,google,,law|trademark law
1070,"Legal Specialist Team Lead, Online Operations","BA/BS degree or equivalent practical experience.
4 years of relevant work experience in an operations setting",Minimum Qualifications,google,1,
1193,"Administrative Business Partner, Hardware and Display Ads","BA/BS degree or equivalent practical experience.
1 year of direct executive support experience.",Minimum Qualifications,google,,executive support
1214,"Executive/Administrative Business Partner, YouTube","BA/BS degree or equivalent practical experience.
5 years of experience in direct executive support.",Minimum Qualifications,google,,executive support
1199,"Technical Account Manager, Search Distribution, Google Technical Services Velocity","BA/BS degree in Computer Science or a related technical field or equivalent practical experience.
Experience working with coding languages such as Python and/or Java, and experience with SQL.
Ability to travel as required.",Minimum Qualifications,google,,Computer Science|coding languages|Python|Java|SQL
1195,"Protective Services Specialist, Event Security","BA/BS degree or equivalent practical experience.
5 years of experience managing security for events.
Valid driver’s license.",Minimum Qualifications,google,1,managing security
835,"Regional Lead (APAC), Google Assistant Personality, Doodle Team","BA/BS degree in a writing field, or equivalent practical experience.
5 years of experience managing a creative or editorial team.
Ability to speak and write in English fluently and idiomatically.",Minimum Qualifications,google,,writing|managing a creative or editorial team|English
785,"User Experience Design Intern, Summer 2018","Must be currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Currently pursuing a BA/BS degree in graphic design, human-computer interaction, computer science, or related field and graduating in 2018, 2019 or 2020.
A design portfolio that demonstrates design principles for web and/or mobile platforms.",Minimum Qualifications,google,,graphic design|human-computer interaction|computer science|web and/or mobile platforms
797,"User Experience Writer Intern, Summer 2018","Currently pursuing a BA/BS degree in English, Literature, Communication, Journalism, Science Writing, Creative Writing, HCI or a related field, and graduating in winter 2018, 2019, or 2020.
Must be currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Authorization to work in the United States.",Minimum Qualifications,google,,English|Literature|Communication|Journalism|Science Writing|Creative Writing|HCI
787,User Experience Researcher,"BA/BS degree in Anthropology, Human Factors, Psychology, HCI/Computer Science or other related fields or equivalent practical experience.
4 years of work experience.
Experience conducting semi-structured interviews, contextual field visits, usability studies either live or remote (e.g. Userzoom or usertesting.com).",Minimum Qualifications,google,1,Anthropology|Human Factors|Psychology|HCI|Computer Science
1095,"Project Manager, Staffing Services Operations","BA/BS degree or equivalent practical experience.
3 years of project management work experience with responsibility for work-planning, scaled implementation, and communication of results.",Minimum Qualifications,google,,4 years of work experience.
1102,"HR Business Partner, Employee Relations","BA/BS degree or equivalent practical experience.
Experience in Employee Relations in a HR Business Partner, Employee Relations Advisor role or as a qualified Solicitor in employment.
Experience conducting and advising on grievances/disciplinaries under UK and Ireland specific procedures and in at least one other EMEA location.
Experience working with restructuring, performance management and sickness management processes.",Minimum Qualifications,google,,"Experience conducting semi-structured interviews, contextual field visits, usability studies either live or remote (e.g. Userzoom or usertesting.com)."
1170,Leadership Staffing Researcher (EMEA),"BA/BS degree or equivalent practical experience.
Experience in research at an executive search firm or management consulting experience in a HR related field or recruiting experience within a corporate environment.
Experience creating and managing search strategies, mapping markets and gleaning industry insights.",Minimum Qualifications,google,1,
1171,Mobility Consultant,"BA/BS degree or equivalent practical experience.
6 years of relevant experience in HR, consulting, recruiting or program management.
Experience designing and implementing process and program solutions.",Minimum Qualifications,google,1,HR|consulting|recruiting|program management|designing and implementing process and program solutions.
1229,"Technical Program Manager, Executive and Event Production","BA/BS degree in a related field or equivalent practical experience.
7 years of relevant experience working as an Audio/Visual professional in large productions in a theatrical setting or large entertainment production.",Minimum Qualifications,google,1,
1230,"Project Manager, Security Systems","BA/BS degree or equivalent practical experience.
5 years of experience working with security systems for infrastructure projects and deployment management.
5 years of experience in Project Management.
Ability to travel up to 25% of the time internationally and domestically.",Minimum Qualifications,google,,security systems for infrastructure projects|deployment management|Project Management
1235,Physical Security Manager,"BA/BS degree or equivalent practical experience.
Ability to speak and write in English and Polish fluently and idiomatically.",Minimum Qualifications,google,,English|Polish
1246,Campus Security Manager,"BA/BS degree or equivalent practical experience.
7 years of experience in corporate security working with contract vendor management and/or security guard force management.
Ability to travel approximately 20% of the time.",Minimum Qualifications,google,,corporate security|contract vendor management|security guard force management
277,"Customer Experience Data Scientist, Google Cloud Support","PhD degree with a quantitative focus (economics, computer science, mathematics, physics, engineering, statistics, or accounting)
Proven experience delivering bespoke analytics to senior stakeholders (problem scoping/definition, modeling, interpretation, presentation)
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social).
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Strong oral and written communication skills, including the ability to communicate complex findings in a structured and clear manner to technical and non-technical audiences.",Preferred Qualifications,google,1,economics|computer science|mathematics|physics|engineering|statistics|accounting|analytics|problem scoping/definition|modeling|interpretation|presentation|customer support|communication
274,"Business Lead, Partner Directory, Google Cloud","Master's in a technical field (e.g Computer Science/Software Engineering) or an MBA.
10 years of partner programs or program/product management experience at an Enterprise Software (or Cloud) or Consumer company and experience with competitive partner programs.
Experience developing a partner directory.
Ability to manage numerous infrastructure projects simultaneously and drive them to successful completion, with a wide range of stakeholders and tight timelines.",Preferred Qualifications,google,,Computer Science|Software Engineering|MBA|partner programs|program/product management|Enterprise Software|partner programs|manage numerous infrastructure projects
